tmc1,road1,direction1,intersection1,state1,county1,zip1,start_latitude1,start_longitude1,end_latitude1,end_longitude1,miles1,road_order1,timezone_name1,type1,country1
110-04180,I-66,EASTBOUND,MONUMENT DR,VA,FAIRFAX COUNTY,22030,38.856349,-77.377485,38.8588922,-77.3634152,0.777018,33,America/New_York,P1,USA
110N04180,I-66,EASTBOUND,MONUMENT DR,VA,FAIRFAX COUNTY,22033,38.8588922,-77.3634152,38.8589204,-77.3632548,0.008855,34,America/New_York,P1,USA
110-04179,I-66,EASTBOUND,US-50/EXIT 57,VA,FAIRFAX COUNTY,22033,38.8589204,-77.3632548,38.8610836,-77.3514164,0.654123,35,America/New_York,P1,USA
110N04179,I-66,EASTBOUND,US-50/EXIT 57,VA,FAIRFAX COUNTY,22030,38.8610836,-77.3514164,38.8638102,-77.33654,0.822136,36,America/New_York,P1,USA
110-04178,I-66,EASTBOUND,VA-123/EXIT 60,VA,FAIRFAX COUNTY,22030,38.8638102,-77.33654,38.867168,-77.317671,1.041163,37,America/New_York,P1,USA
110N04178,I-66,EASTBOUND,VA-123/EXIT 60,VA,FAIRFAX COUNTY,22030,38.867168,-77.317671,38.870273,-77.300204,0.963653,38,America/New_York,P1,USA
110+04178,I-66,WESTBOUND,VA-123/EXIT 60,VA,FAIRFAX COUNTY,22124,38.8762208,-77.2792388,38.8704,-77.300642,1.220615,33,America/New_York,P1,USA
110P04177,I-66,WESTBOUND,VADEN DR/EXIT 62,VA,FAIRFAX COUNTY,22031,38.8774502,-77.2745862,38.8762208,-77.2792388,0.264381,33.001,America/New_York,P1,USA
110P04178,I-66,WESTBOUND,VA-123/EXIT 60,VA,FAIRFAX COUNTY,22030,38.8704,-77.300642,38.8677074,-77.3156008,0.825796,34,America/New_York,P1,USA
110+04179,I-66,WESTBOUND,US-50/EXIT 57,VA,FAIRFAX COUNTY,22030,38.8677074,-77.3156008,38.8637538,-77.3378226,1.226189,35,America/New_York,P1,USA
110P04179,I-66,WESTBOUND,US-50/EXIT 57,VA,FAIRFAX COUNTY,22033,38.8637538,-77.3378226,38.860958,-77.353612,0.87115,36,America/New_York,P1,USA
110+04180,I-66,WESTBOUND,MONUMENT DR,VA,FAIRFAX COUNTY,22033,38.860958,-77.353612,38.8591568,-77.3636582,0.554574,37,America/New_York,P1,USA
110P04180,I-66,WESTBOUND,MONUMENT DR,VA,FAIRFAX COUNTY,22033,38.8591568,-77.3636582,38.8591204,-77.3638352,0.009849,38,America/New_York,P1,USA
