AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
0,0.004999999999999005,-0.03599999999999781,-0.029999999999997584,-0.17199999999998994,0.04900000000000304,-0.06900000000000617
1,-0.384999999999998,-0.1300000000000061,-0.10500000000000043,0.12599999999999767,0.13400000000000745,0.15749999999999176
2,-0.26000000000000156,-0.1680000000000028,-0.017000000000003013,-0.15199999999999392,-0.042000000000005144,-0.3384999999999927
3,-0.21999999999999886,-0.10600000000000165,-0.22099999999999298,-0.23199999999999932,-0.7440000000000069,-2.9849999999999994
4,-0.10999999999999588,-0.16400000000000503,0.1810000000000045,0.0400000000000027,-0.15199999999999747,-1.4034999999999869
5,0.365000000000002,0.17000000000000526,0.3810000000000038,0.7239999999999966,0.6809999999999974,-0.8489999999999966
6,0.12000000000000455,-0.11200000000000543,-0.07600000000000762,-0.25399999999999423,-1.0470000000000006,-1.8350000000000009
7,0.039999999999995595,-0.05800000000000338,-0.022999999999996135,0.17800000000000438,0.08899999999999508,-3.731499999999997
8,-0.2450000000000081,-0.46399999999999864,-0.5410000000000004,-0.3739999999999988,0.005000000000006111,0.490000000000002
9,-0.28500000000000725,-0.17400000000000304,-0.28600000000000136,-0.45599999999999596,-0.6380000000000017,-3.1984999999999957
10,-0.2099999999999973,-0.10200000000000742,-0.20299999999998875,0.05000000000000071,0.021999999999998465,-0.2610000000000028
11,-0.12500000000000355,-0.142000000000003,0.05000000000000071,-0.14600000000000435,0.2539999999999907,-4.003999999999991
12,0.13500000000000156,0.2600000000000051,0.4160000000000039,0.10800000000000054,0.1510000000000069,0.3529999999999909
13,0.0849999999999973,0.16199999999999548,0.18800000000001305,0.0919999999999952,-0.2589999999999968,-16.873499999999986
14,0.24499999999999744,0.19799999999999685,0.08499999999999375,-0.38199999999999434,-1.0670000000000037,-4.1864999999999775
15,-0.024999999999995026,-0.21799999999999997,-0.12200000000001054,-0.22600000000000264,-0.907,-5.5079999999999885
16,-0.14499999999999957,-0.1980000000000004,-0.055000000000010374,-0.3219999999999992,-0.9820000000000029,-5.471499999999924
17,-0.3150000000000013,-0.045999999999999375,0.006000000000000227,0.3740000000000059,-0.08899999999999153,-6.723500000000005
18,0.27500000000000213,0.31599999999999895,0.4899999999999878,0.5859999999999985,0.33500000000000085,-0.9194999999999851
19,0.20000000000000284,0.3180000000000014,0.31999999999999673,0.3320000000000043,0.14599999999999724,-1.0134999999999756
20,0.03500000000000014,0.023999999999993804,0.07600000000000406,0.08800000000000807,-0.6030000000000015,-3.45249999999999
21,-0.005000000000002558,-0.25400000000000844,-0.08800000000000452,-0.17599999999999483,0.8349999999999973,-3.197499999999973
22,-0.33500000000000085,-0.1059999999999981,-0.24599999999999866,-0.023999999999997357,0.46300000000000097,-6.260499999999972
23,-0.24000000000000554,-0.055999999999997385,-0.00999999999999801,0.345999999999993,-0.07000000000000028,-0.8114999999999881
24,-0.03999999999999915,0.022000000000002018,-0.08800000000000452,0.17599999999999483,-0.11400000000000787,-0.2849999999999895
25,0.05999999999999517,-0.020000000000003126,-0.05399999999999139,0.1620000000000026,-0.2820000000000036,-3.1690000000000005
