AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
0,0.1599999999999966,0.2100000000000044,0.125,0.19200000000000728,0.6240000000000059,0.9304999999999914
1,-0.13000000000000256,-0.07600000000000051,-0.04599999999999227,0.06200000000000472,-0.009999999999990905,0.1834999999999951
2,0.05000000000000426,0.08200000000000074,0.2870000000000026,0.05800000000001049,0.09299999999999642,1.031000000000006
3,-0.005000000000002558,0.14799999999999613,0.05200000000000671,0.08199999999999719,0.127000000000006,0.6449999999999996
4,0.3099999999999987,0.38599999999999923,0.6510000000000034,0.46399999999999864,-0.19000000000000128,-0.05149999999999366
5,0.2950000000000088,0.3180000000000014,0.28300000000000836,0.2920000000000087,0.02100000000000435,0.2380000000000102
6,0.010000000000001563,-0.05600000000000804,-0.05500000000000682,-0.04799999999999116,-0.5300000000000011,0.22449999999999548
7,0.09499999999999886,0.15399999999999991,-0.15700000000000713,0.11600000000000321,0.45099999999999696,-0.04849999999999355
8,0.08500000000000085,0.12600000000000477,-0.20400000000000418,-0.33799999999999386,0.1180000000000021,0.3270000000000053
9,-0.03500000000000725,0.045999999999999375,-0.07200000000000628,0.08999999999999986,-0.16000000000000014,0.4174999999999969
10,0.3400000000000034,0.18999999999999417,0.007000000000008555,0.09600000000000364,0.03400000000000247,-0.4154999999999909
11,0.23999999999999844,0.15200000000000458,0.4160000000000039,0.2559999999999967,0.9220000000000006,1.1479999999999961
12,0.3100000000000058,0.43200000000000216,0.370000000000001,0.7300000000000004,0.909000000000006,0.9534999999999947
13,0.41000000000000725,0.4740000000000002,0.6040000000000134,0.5779999999999959,0.6849999999999952,-0.46749999999999403
14,0.3950000000000031,0.23000000000000043,0.1679999999999886,0.32000000000000384,0.17899999999999494,0.4314999999999998
15,0.3150000000000013,0.362000000000009,0.1909999999999954,0.10199999999999676,0.27399999999999736,0.14800000000000324
16,0.10000000000000142,0.17999999999999972,0.2609999999999921,0.284000000000006,0.5489999999999995,1.388500000000004
17,0.1649999999999956,0.31200000000000827,0.3410000000000082,0.4740000000000002,0.4800000000000004,1.3914999999999935
18,0.2149999999999963,0.2199999999999953,0.27199999999999136,0.44399999999999196,0.657,0.6899999999999942
19,0.2050000000000054,0.522000000000002,0.36799999999999855,0.28800000000000026,0.44999999999999574,1.0390000000000015
20,0.28000000000000824,0.16399999999999437,0.42499999999999716,0.4139999999999979,0.570999999999998,1.1550000000000011
21,0.2700000000000067,0.25000000000000355,0.1459999999999937,0.3079999999999963,0.968,1.1449999999999996
22,-0.14000000000000412,0.13599999999999923,0.08699999999999974,0.2100000000000044,0.5499999999999936,0.6194999999999986
23,-0.350000000000005,-0.120000000000001,-0.12300000000000466,0.3119999999999976,0.1860000000000035,0.644999999999996
24,-0.129999999999999,-0.10799999999999699,0.0849999999999973,0.2240000000000002,0.16399999999999437,1.2694999999999972
25,0.125,0.09200000000000585,0.20000000000000284,0.16199999999999903,0.6979999999999968,0.3790000000000049
26,0.18999999999999773,0.25000000000000355,0.132000000000005,0.4099999999999895,0.5449999999999946,0.41500000000000625
27,0.5850000000000044,0.402000000000001,0.3809999999999967,0.4939999999999998,0.7399999999999984,0.5040000000000049
28,0.1600000000000037,0.45000000000000284,0.28000000000000114,0.1700000000000017,-0.7090000000000032,-0.33699999999999974
29,-0.019999999999992468,0.31599999999999895,0.254999999999999,0.11399999999999721,-0.19200000000000372,-0.1250000000000071
30,0.2799999999999976,0.1839999999999975,0.3490000000000002,0.4899999999999949,0.3009999999999948,0.8210000000000051
31,0.25500000000000256,0.30600000000000094,0.28500000000000725,0.566000000000006,1.0380000000000003,1.0084999999999908
32,-0.060000000000002274,-0.06800000000000139,0.037000000000002586,0.2779999999999987,0.6090000000000053,0.39350000000000307
33,-0.06499999999999773,-0.04200000000000159,0.06200000000000472,0.3059999999999974,0.18000000000000682,0.498999999999981
34,-0.05000000000000426,-0.19799999999999685,0.13500000000000156,0.43599999999999994,0.9880000000000067,1.4230000000000054
35,-0.030000000000001137,-0.06400000000001071,0.17800000000000082,0.4300000000000139,0.6169999999999938,1.8844999999999956
36,0.1700000000000017,0.12600000000000122,0.1859999999999964,0.5359999999999943,1.009999999999998,0.979499999999998
37,0.010000000000001563,0.14399999999999835,0.06899999999999906,0.4819999999999993,0.5310000000000024,0.5599999999999881
38,0.46499999999999986,0.33200000000000074,0.605000000000004,0.7639999999999958,0.6770000000000032,0.7584999999999944
39,0.2100000000000044,0.20400000000000418,0.24500000000000455,0.32200000000000983,0.5339999999999954,0.6814999999999962
40,-0.14000000000000412,-0.06400000000000006,-0.09799999999999898,0.010000000000008669,-0.02599999999999625,-1.5779999999999959
41,0.5700000000000038,0.22400000000000375,0.32800000000000296,0.2959999999999994,0.6049999999999933,0.25200000000000244
42,-0.039999999999995595,0.17800000000000082,0.0,0.04199999999999804,-0.31400000000000006,-0.8165000000000084
43,0.03499999999999659,0.27800000000000225,0.29500000000000526,0.3239999999999945,0.5030000000000001,1.695999999999998
44,-0.09000000000000696,0.12600000000000477,0.11499999999999488,-0.10600000000000165,-0.5870000000000068,0.1425000000000054
45,0.12500000000000355,0.2680000000000007,0.3810000000000038,0.3420000000000023,-0.12599999999999412,-2.4539999999999864
46,0.1999999999999993,0.1579999999999977,0.6230000000000082,0.4600000000000044,0.357999999999997,0.03399999999999892
47,0.3150000000000013,0.3120000000000047,0.3900000000000077,0.40399999999999636,0.4030000000000058,0.45800000000000196
48,0.5150000000000077,0.5760000000000005,0.6630000000000074,0.6340000000000003,0.8780000000000001,1.6119999999999983
49,0.44000000000000483,0.7220000000000049,0.9269999999999925,0.4860000000000042,0.872999999999994,0.7500000000000036
50,0.43000000000000327,0.37400000000000233,0.7170000000000059,0.8060000000000009,1.1750000000000043,1.548499999999997
51,0.365000000000002,0.46399999999999864,0.46099999999999497,0.6080000000000005,0.7729999999999997,1.4554999999999936
